SMPVR Participant ID = 15 Gender = M Age = 23 FasterSpeed = 1.61 SlowerSpeed = 1.01 LogFrequency = 0.05
Current Order of Blocks 99 20 11 99 20 1 99 20 5 99 20 3 99 20 14 99 20 12 99 20 13 99 20 2 99 20 7 99 20 9 99 20 16 99 20 6 99 20 4 99 20 8 99 20 10 99 20 15 99
blockLog,WalkingSpeedLog,forwardEyeLog,forwardEyeColorLog,OpticFlowSpeedLog,TimeStampLog,leftButtonLog,rightButtonLog,cameraX,cameraY,cameraZ
Interim,0,0,0,0, 12.05.35.219,0,0,327.1615,358.6129,3.399443
Interim,0,0,0,0, 12.05.35.672,0,0,327.165,358.697,3.406493
Interim,0,0,0,0, 12.05.35.673,0,0,327.165,358.697,3.406493
Interim,0,0,0,0, 12.05.35.675,0,0,327.165,358.697,3.406493
Interim,0,0,0,0, 12.05.35.676,0,0,327.165,358.697,3.406493
Interim,0,0,0,0, 12.05.35.677,0,0,327.165,358.697,3.406493
Interim,0,0,0,0, 12.05.35.679,0,0,327.165,358.697,3.406493
Interim,0,0,0,0, 12.05.35.680,0,0,327.165,358.697,3.406493
Interim,0,0,0,0, 12.05.35.723,0,0,21.19308,1.946157,3.854513
Interim,0,0,0,0, 12.05.35.776,0,0,20.35475,1.849136,3.769983
Interim,0,0,0,0, 12.05.35.820,0,0,19.85231,1.72752,3.730851
Interim,0,0,0,0, 12.05.35.876,0,0,19.26663,1.642631,3.688462
Interim,0,0,0,0, 12.05.35.921,0,0,18.95847,1.67258,3.696468
Interim,0,0,0,0, 12.05.35.976,0,0,18.60642,1.665198,3.740532
Interim,0,0,0,0, 12.05.36.021,0,0,18.42968,1.609805,3.75021
Interim,0,0,0,0, 12.05.36.077,0,0,18.36796,1.54888,3.672134
Interim,0,0,0,0, 12.05.36.122,0,0,18.55831,1.514527,3.687544
Interim,0,0,0,0, 12.05.36.177,0,0,18.64049,1.592844,3.632903
Interim,0,0,0,0, 12.05.36.221,0,0,18.61617,1.593055,3.589086
Interim,0,0,0,0, 12.05.36.278,0,0,18.58216,1.685069,3.508425
Interim,0,0,0,0, 12.05.36.322,0,0,18.52854,1.743284,3.522523
Interim,0,0,0,0, 12.05.36.367,0,0,18.55815,1.761048,3.513301
Interim,0,0,0,0, 12.05.36.426,0,0,18.58371,1.748341,3.50649
Interim,0,0,0,0, 12.05.36.470,0,0,18.67304,1.714334,3.50228
Interim,0,0,0,0, 12.05.36.527,0,0,18.73392,1.62501,3.439915
Interim,0,0,0,0, 12.05.36.571,0,0,18.68506,1.541459,3.329449
Interim,0,0,0,0, 12.05.36.619,0,0,18.60673,1.453189,3.204968
Interim,0,0,0,0, 12.05.36.672,0,0,18.58721,1.423079,2.927336
Interim,0,0,0,0, 12.05.36.728,0,0,18.60966,1.465037,2.813521
Interim,0,0,0,0, 12.05.36.776,0,0,18.52216,1.498595,2.706029
Interim,0,0,0,0, 12.05.36.828,0,0,18.37307,1.523101,2.605239
Interim,0,0,0,0, 12.05.36.873,0,0,18.26941,1.524493,2.572208
Interim,0,0,0,0, 12.05.36.918,0,0,18.15099,1.416793,2.539723
Interim,0,0,0,0, 12.05.36.973,0,0,17.95715,1.30836,2.412753
Interim,0,0,0,0, 12.05.37.018,0,0,17.89367,1.25759,2.34415
Interim,0,0,0,0, 12.05.37.075,0,0,17.90846,1.343585,2.365142
Interim,0,0,0,0, 12.05.37.117,0,0,17.89428,1.476698,2.473412
Interim,0,0,0,0, 12.05.37.173,0,0,17.94881,1.500167,2.515933
Interim,0,0,0,0, 12.05.37.218,0,0,17.94447,1.478232,2.57317
Interim,0,0,0,0, 12.05.37.274,0,0,17.92205,1.454289,2.530775
Interim,0,0,0,0, 12.05.37.318,0,0,17.96966,1.415407,2.568331
Interim,0,0,0,0, 12.05.37.374,0,0,18.00994,1.391785,2.645428
Interim,0,0,0,0, 12.05.37.418,0,0,18.01271,1.342097,2.642686
Interim,0,0,0,0, 12.05.37.475,0,0,17.98471,1.406321,2.606616
Interim,0,0,0,0, 12.05.37.521,0,0,17.93643,1.477895,2.592888
Interim,0,0,0,0, 12.05.37.576,0,0,17.84559,1.58175,2.56127
Interim,0,0,0,0, 12.05.37.621,0,0,17.85589,1.68337,2.578037
Interim,0,0,0,0, 12.05.37.678,0,0,17.88707,1.74732,2.590925
Interim,0,0,0,0, 12.05.37.723,0,0,17.80787,1.787678,2.596492
Interim,0,0,0,0, 12.05.37.777,0,0,17.80263,1.830975,2.623552
Interim,0,0,0,0, 12.05.37.822,0,0,17.77895,1.854448,2.665464
Interim,0,0,0,0, 12.05.37.874,0,0,17.77599,1.862803,2.608523
Interim,0,0,0,0, 12.05.37.920,0,0,17.77875,1.91215,2.659368
Interim,0,0,0,0, 12.05.37.976,0,0,17.7529,1.980974,2.70617
Interim,0,0,0,0, 12.05.38.026,0,0,17.78137,1.915977,2.706748
Interim,0,0,0,0, 12.05.38.077,0,0,17.8242,1.898575,2.641186
Interim,0,0,0,0, 12.05.38.122,0,0,17.74848,1.929921,2.685185
Interim,0,0,0,0, 12.05.38.180,0,0,17.63655,2.025049,2.718062
Interim,0,0,0,0, 12.05.38.221,0,0,17.61255,2.057272,2.744693
Interim,0,0,0,0, 12.05.38.279,0,0,17.5739,2.044793,2.726334
Interim,0,0,0,0, 12.05.38.324,0,0,17.53198,2.063494,2.728871
Interim,0,0,0,0, 12.05.38.369,0,0,17.44598,2.109502,2.733109
Interim,0,0,0,0, 12.05.38.425,0,0,17.37318,2.219308,2.778841
Interim,0,0,0,0, 12.05.38.471,0,0,17.33036,2.241643,2.779272
Interim,0,0,0,0, 12.05.38.523,0,0,17.29921,2.253812,2.718097
Interim,0,0,0,0, 12.05.38.567,0,0,17.26842,2.25217,2.760839
Interim,0,0,0,0, 12.05.38.624,0,0,17.20724,2.283166,2.822031
Interim,0,0,0,0, 12.05.38.668,0,0,17.23652,2.224417,2.807217
Interim,0,0,0,0, 12.05.38.725,0,0,17.1737,2.229646,2.771397
Interim,0,0,0,0, 12.05.38.769,0,0,17.04922,2.267401,2.815058
Interim,0,0,0,0, 12.05.38.825,0,0,16.96709,2.299127,2.816856
Interim,0,0,0,0, 12.05.38.870,0,0,16.95895,2.308537,2.826257
Interim,0,0,0,0, 12.05.38.925,0,0,16.97056,2.298211,2.805137
Interim,0,0,0,0, 12.05.38.969,0,0,16.96799,2.308027,2.832112
Interim,0,0,0,0, 12.05.39.027,0,0,16.94976,2.298946,2.833606
Interim,0,0,0,0, 12.05.39.074,0,0,16.94884,2.272126,2.886234
Interim,0,0,0,0, 12.05.39.123,0,0,16.91344,2.218801,2.798527
Interim,0,0,0,0, 12.05.39.174,0,0,16.97288,2.177779,2.843846
Interim,0,0,0,0, 12.05.39.219,0,0,16.94545,2.188768,2.852026
Interim,0,0,0,0, 12.05.39.277,0,0,17.01293,2.087969,2.823654
Interim,0,0,0,0, 12.05.39.318,0,0,17.02084,2.081019,2.812634
Interim,0,0,0,0, 12.05.39.375,0,0,16.99476,2.104558,2.792269
Interim,0,0,0,0, 12.05.39.420,0,0,16.95527,2.143711,2.792377
Interim,0,0,0,0, 12.05.39.475,0,0,16.96528,2.159049,2.78874
Interim,0,0,0,0, 12.05.39.520,0,0,16.97847,2.098842,2.717651
Interim,0,0,0,0, 12.05.39.576,0,0,16.95222,2.15545,2.670508
Interim,0,0,0,0, 12.05.39.621,0,0,16.91894,2.234755,2.657071
Interim,0,0,0,0, 12.05.39.676,0,0,16.82851,2.293445,2.627063
Interim,0,0,0,0, 12.05.39.720,0,0,16.79885,2.309365,2.627571
Interim,0,0,0,0, 12.05.39.776,0,0,16.78451,2.297766,2.526905
Interim,0,0,0,0, 12.05.39.820,0,0,16.80977,2.272123,2.566417
Interim,0,0,0,0, 12.05.39.877,0,0,16.8085,2.260744,2.596797
Interim,0,0,0,0, 12.05.39.921,0,0,16.80691,2.183251,2.60099
Interim,0,0,0,0, 12.05.39.978,0,0,16.79119,2.162757,2.549716
Interim,0,0,0,0, 12.05.40.023,0,0,16.78139,2.185553,2.589596
Interim,0,0,0,0, 12.05.40.076,0,0,16.75892,2.233114,2.611228
Interim,0,0,0,0, 12.05.40.120,0,0,16.73418,2.232542,2.623403
Interim,0,0,0,0, 12.05.40.176,0,0,16.7559,2.189368,2.640476
Interim,0,0,0,0, 12.05.40.221,0,0,16.74237,2.190927,2.668445
Interim,0,0,0,0, 12.05.40.276,0,0,16.68725,2.177642,2.683978
Interim,0,0,0,0, 12.05.40.321,0,0,16.63659,2.174468,2.688217
Interim,0,0,0,0, 12.05.40.370,0,0,16.6903,2.179755,2.702434
Interim,0,0,0,0, 12.05.40.422,0,0,16.68203,2.187952,2.647778
Interim,0,0,0,0, 12.05.40.478,0,0,16.67341,2.22139,2.705336
