SMPVR Participant ID = 38 Gender = F Age = 24 FasterSpeed = 2.15 SlowerSpeed = 0.83 LogFrequency = 0.05
Current Order of Blocks 99 20 5 99 20 4 99 20 12 99 20 15 99 20 3 99 20 14 99 20 10 99 20 13 99 20 8 99 20 1 99 20 16 99 20 2 99 20 9 99 20 7 99 20 11 99 20 6 99
blockLog,WalkingSpeedLog,forwardEyeLog,forwardEyeColorLog,OpticFlowSpeedLog,TimeStampLog,leftButtonLog,rightButtonLog,cameraX,cameraY,cameraZ
Interim,0,0,0,0, 14.33.39.129,0,0,350.1356,356.499,0.191813
Interim,0,0,0,0, 14.33.39.589,0,0,350.1173,356.5656,0.1434965
Interim,0,0,0,0, 14.33.39.591,0,0,350.1173,356.5656,0.1434965
Interim,0,0,0,0, 14.33.39.593,0,0,350.1173,356.5656,0.1434965
Interim,0,0,0,0, 14.33.39.593,0,0,350.1173,356.5656,0.1434965
Interim,0,0,0,0, 14.33.39.595,0,0,350.1173,356.5656,0.1434965
Interim,0,0,0,0, 14.33.39.596,0,0,350.1173,356.5656,0.1434965
Interim,0,0,0,0, 14.33.39.597,0,0,350.1173,356.5656,0.1434965
Interim,0,0,0,0, 14.33.39.639,0,0,348.5105,353.0774,2.882999
Interim,0,0,0,0, 14.33.39.690,0,0,350.9202,355.5082,359.0531
Interim,0,0,0,0, 14.33.39.746,0,0,348.9875,357.9224,358.3173
Interim,0,0,0,0, 14.33.39.791,0,0,347.0832,359.3038,357.1301
Interim,0,0,0,0, 14.33.39.847,0,0,345.7625,0.754931,356.3705
Interim,0,0,0,0, 14.33.39.890,0,0,344.9476,2.064091,356.5545
Interim,0,0,0,0, 14.33.39.935,0,0,344.6219,3.263022,357.1941
Interim,0,0,0,0, 14.33.39.991,0,0,344.9339,4.133589,357.7556
Interim,0,0,0,0, 14.33.40.036,0,0,345.7506,3.719796,358.2145
Interim,0,0,0,0, 14.33.40.092,0,0,344.1659,2.9709,358.2701
Interim,0,0,0,0, 14.33.40.137,0,0,342.9572,2.472206,358.4164
Interim,0,0,0,0, 14.33.40.193,0,0,343.401,1.777614,359.1146
Interim,0,0,0,0, 14.33.40.241,0,0,345.0229,1.492542,359.5893
Interim,0,0,0,0, 14.33.40.293,0,0,346.554,0.9846769,0.1183986
Interim,0,0,0,0, 14.33.40.337,0,0,345.58,0.6494959,0.1369441
Interim,0,0,0,0, 14.33.40.394,0,0,344.3431,0.5137933,0.05384525
Interim,0,0,0,0, 14.33.40.441,0,0,343.8866,0.5771704,359.9674
Interim,0,0,0,0, 14.33.40.496,0,0,343.8315,0.5346895,0.1081174
Interim,0,0,0,0, 14.33.40.549,0,0,343.6438,0.2079085,0.1103773
Interim,0,0,0,0, 14.33.40.586,0,0,343.7225,359.9866,0.2386497
Interim,0,0,0,0, 14.33.40.641,0,0,343.7073,359.7335,0.5344461
Interim,0,0,0,0, 14.33.40.686,0,0,344.2719,359.5353,0.5139369
Interim,0,0,0,0, 14.33.40.742,0,0,345.7023,359.4626,0.489286
Interim,0,0,0,0, 14.33.40.787,0,0,346.8547,359.4252,0.7416626
Interim,0,0,0,0, 14.33.40.847,0,0,348.121,359.6938,0.6751236
Interim,0,0,0,0, 14.33.40.889,0,0,348.6102,0.1063338,0.4826219
Interim,0,0,0,0, 14.33.40.944,0,0,348.5835,0.02131371,0.6493431
Interim,0,0,0,0, 14.33.40.989,0,0,348.7324,359.7048,0.9745573
Interim,0,0,0,0, 14.33.41.045,0,0,349.4466,359.242,1.392929
Interim,0,0,0,0, 14.33.41.089,0,0,349.7653,359.1154,1.301036
